simulation_id,epoch,stage,frequency_hz,rg_cycle_interval_cv_mean,lr_phase_error_mean_abs_deg,fe_phase_error_mean_abs_deg,lr_phase_slip_rate,fe_phase_slip_rate,lr_phase_slip_count,lr_phase_cycle_count,fe_phase_slip_count,fe_phase_cycle_count,bilateral_amplitude_balance,pf_transfer_reliability,mn_transfer_reliability,pf_transfer_anchor_count,pf_transfer_missed_count,pf_transfer_matched_count,mn_transfer_anchor_count,mn_transfer_missed_count,mn_transfer_matched_count,rhythmic_failure,min_rg_burst_count,challenged_rrp_mean_secondary,challenged_replenishment_resource_mean_secondary,technical_valid,technical_exclusion_reason,n_bursts_L_F,n_bursts_L_E,n_bursts_R_F,n_bursts_R_E,mt_RG_mean,rrp_RG_mean_secondary,replenishment_resource_RG_mean_secondary,mt_PF_mean,rrp_PF_mean_secondary,replenishment_resource_PF_mean_secondary,mt_MN_mean,rrp_MN_mean_secondary,replenishment_resource_MN_mean_secondary,mt_V0D_mean,rrp_V0D_mean_secondary,replenishment_resource_V0D_mean_secondary,mt_V0V_mean,rrp_V0V_mean_secondary,replenishment_resource_V0V_mean_secondary,mt_V2a_mean,rrp_V2a_mean_secondary,replenishment_resource_V2a_mean_secondary,mt_V3_mean,rrp_V3_mean_secondary,replenishment_resource_V3_mean_secondary,mt_V1Ia_mean,rrp_V1Ia_mean_secondary,replenishment_resource_V1Ia_mean_secondary,mt_V1Ren_mean,rrp_V1Ren_mean_secondary,replenishment_resource_V1Ren_mean_secondary,mt_V2b_mean,rrp_V2b_mean_secondary,replenishment_resource_V2b_mean_secondary
sim-4416fb6581c912835b11988445fab7d4f6d103fa010a08bb6dac21a11d825bb6,1,baseline,1.9727358595750726,0.48432326232169126,152.12385707338075,115.47168444210142,0.8333333333333334,0.7142857142857143,5,6,5,7,0.731921941612625,0.6666666666666667,0.6666666666666667,15,5,10,15,5,10,0,4,1.0,1.0,1,none,4,4,5,5,0.07986202576964903,0.9881335656516418,0.9807760424241676,0.07065802558912443,0.9897615672073965,0.9875007417531999,0.06629152285597396,0.9913344335419694,0.9906517537124215,0.064256614154294,0.995411322239629,0.9920644869556792,0.06588459105560164,0.9939118628539726,0.9909944321056888,0.06852336795266871,0.9928741760368772,0.9891204006061687,0.059059976584761385,0.9978188789189714,0.9956592922486114,0.08931534600659867,0.9841835098723775,0.974271978624673,0.06416022954229846,0.9914380644498232,0.9921390163547603,0.0718095949307981,0.992037212727049,0.9868712031760484
sim-4416fb6581c912835b11988445fab7d4f6d103fa010a08bb6dac21a11d825bb6,2,baseline,2.5881210581012555,0.018130428767295783,9.682910497037396,5.548269223560798,0.0,0.0,0,9,0,9,0.9620296188214035,1.0,1.0,19,0,19,19,0,19,0,5,1.0,1.0,1,none,6,5,5,5,0.07080686136362394,0.9898636176023672,0.9686083176146506,0.08458950510744302,0.9829408612524235,0.9597339555485844,0.08500633979743481,0.9817970680743092,0.9597439320868604,0.04569093935352966,0.9937221755535466,0.9855800632463286,0.05663532479201014,0.9905605249529351,0.9790817976044728,0.05857481732086576,0.9906316140735594,0.9776718043844729,0.02941014777669438,0.9983131747393205,0.9954623307917764,0.09384580361231672,0.985322604348999,0.9533351703930586,0.09658495923189077,0.9770278146749224,0.9511895350470506,0.06277795092951187,0.989110141825506,0.9749466971621964
sim-4416fb6581c912835b11988445fab7d4f6d103fa010a08bb6dac21a11d825bb6,3,baseline,2.5453126681623517,0.021433383898714038,15.122599656347555,6.372661538417673,0.0,0.0,0,8,0,8,0.9379739475244312,1.0,1.0,18,0,18,18,0,18,0,5,1.0,1.0,1,none,5,5,5,5,0.06610058538007377,0.990347203391529,0.9656208725830752,0.09742636119819623,0.9839191076915471,0.9446994471829389,0.10052803935911499,0.9830984697486902,0.9429388014584734,0.040702116563376384,0.9939547909323713,0.9823298526415586,0.05734163977424605,0.9909187022433129,0.9728768123998587,0.05759154305504188,0.9912246219715511,0.9724388843182898,0.018359674327228077,0.9979276303607945,0.9950805191380538,0.08801308533693654,0.9848103486303582,0.9514499539301853,0.12096159880059729,0.9798674571351514,0.9263629509000045,0.06568783308752663,0.9897517609842209,0.9672650453126679
sim-4416fb6581c912835b11988445fab7d4f6d103fa010a08bb6dac21a11d825bb6,4,baseline,2.5458550299039704,0.026594704073968717,10.815033349049312,6.662125505631514,0.0,0.0,0,8,0,8,0.9260276638117715,1.0,1.0,18,0,18,18,0,18,0,5,1.0,1.0,1,none,5,5,5,5,0.06393757077934177,0.9902921260182231,0.9649819405620703,0.09961969754974123,0.9846879064944442,0.9407501302766158,0.10569568318673267,0.9834635788940115,0.936709201328089,0.04151818696402587,0.9933075316322774,0.979553477517256,0.056351963795028735,0.9918200106702226,0.9715909777521549,0.05644497045734279,0.9916037215126474,0.9711734128442702,0.017095422003189722,0.9978325115213946,0.9934422723982982,0.0974557432769872,0.9852583285370567,0.9424823663499123,0.12517913771642178,0.9804615259532027,0.9194753677689278,0.06590269436841237,0.989732854151438,0.9650926078794372
sim-4416fb6581c912835b11988445fab7d4f6d103fa010a08bb6dac21a11d825bb6,5,baseline,2.563176696901352,0.029364816953115578,17.504500892340857,7.761195491774164,0.0,0.0,0,9,0,9,0.9385456523001656,1.0,1.0,18,0,18,18,0,18,0,5,1.0,1.0,1,none,5,6,6,5,0.06260493925474357,0.9903293044140024,0.9651126881320617,0.09817631325138716,0.9843115563017802,0.9409937634224272,0.10253339196574461,0.9840789634810924,0.938069868537296,0.040877621776411355,0.9939010241872922,0.9792180394514404,0.05534746892346098,0.9909505988908046,0.971457175071564,0.055906682356808075,0.9911329573884073,0.9708159420971167,0.014988644058466054,0.9975991745050347,0.9936987821933415,0.09564279009246542,0.9838226851047722,0.9427958654139017,0.1214533872617275,0.980072504275048,0.9211181059956995,0.06546733885013432,0.9900450731891742,0.9647500550845978
sim-4416fb6581c912835b11988445fab7d4f6d103fa010a08bb6dac21a11d825bb6,6,baseline,2.533468887025187,0.02718383945166539,13.176594005118229,3.043318303382221,0.0,0.0,0,8,0,8,0.9115935908578698,1.0,1.0,16,0,16,16,0,16,0,5,1.0,1.0,1,none,5,5,5,5,0.0625434411842788,0.9900672509993261,0.9649295238969714,0.10131334178799793,0.9835915183080564,0.9384487735156554,0.10691178185392608,0.9819444332463015,0.934582193318161,0.03939475900935673,0.9939311753367319,0.979824496453864,0.05830416695202454,0.9907136197047669,0.9693994152215273,0.05750426193156801,0.9908818913535592,0.9696075904765766,0.016935249549894713,0.997323136174108,0.9923319970783441,0.09746322282864608,0.9850245115537807,0.9414647380339487,0.13019627141484866,0.9778928980778675,0.9139248119050332,0.06530134208760766,0.9897166501600081,0.9646096732537967
sim-4416fb6581c912835b11988445fab7d4f6d103fa010a08bb6dac21a11d825bb6,7,prechallenge_demand,2.458156395755884,0.065401443318069,11.845347004330716,4.899359959337639,0.0,0.0,0,8,0,8,0.9130726111833394,1.0,1.0,17,0,17,17,0,17,0,5,1.0,1.0,1,none,5,5,5,5,0.06391433053793626,0.9859428053769043,0.9593190944022114,0.10321635569214185,0.9770763417573541,0.9293534614652276,0.10925533801937266,0.9772367959775902,0.9250275568927686,0.0419125025187024,0.991196113743594,0.9756682139429663,0.05744526585540333,0.9887925059981726,0.9664141450550989,0.056796565198049515,0.988535854952207,0.9665239769254629,0.017808919849598013,0.9951066889741549,0.9905467863762062,0.09634011344155925,0.9806685433426012,0.936104155418248,0.1312546677009853,0.9728749920170867,0.9034235865595139,0.0683823367843452,0.9844736899401753,0.9573766624338257
sim-4416fb6581c912835b11988445fab7d4f6d103fa010a08bb6dac21a11d825bb6,8,prechallenge_demand,2.3852374576203594,0.12006298989450884,30.90899169193423,29.64799943597489,0.14285714285714285,0.125,1,7,1,8,0.8946720390824258,1.0,1.0,17,0,17,17,0,17,0,4,1.0,1.0,1,none,5,4,5,5,0.06620096340906016,0.9854913350798115,0.952465731778889,0.10609368953598415,0.9785262416083463,0.9185860591360218,0.11008842891495282,0.9769973280647666,0.9151685339773596,0.04247006882166586,0.9905137557890971,0.9722308661977069,0.05563229297709183,0.9886938971696635,0.9636643664168552,0.05541733624532962,0.9887703964794821,0.9633917239735921,0.021436965562756278,0.9953404648722988,0.9873088531444557,0.09801252157752934,0.9786890301087517,0.9266224892284408,0.132185014030396,0.9727323056322418,0.8915470911368119,0.06883073552958681,0.9864109843755665,0.9524657453167613
sim-4416fb6581c912835b11988445fab7d4f6d103fa010a08bb6dac21a11d825bb6,9,prechallenge_demand,2.4349269468792665,0.045908338994811004,9.50372720622141,9.82941050579915,0.0,0.0,0,7,0,7,0.9223686393476563,1.0,1.0,16,0,16,16,0,16,0,4,1.0,1.0,1,none,5,4,4,5,0.06752721963229463,0.9857782067352269,0.9498299504059058,0.10581072297452232,0.9770199214014282,0.9160287575215579,0.10877820291413158,0.9765934861335427,0.9135527884120447,0.04535669963128657,0.9904662866910199,0.9689441967497803,0.05538289387741905,0.9879403114235813,0.9624243608790158,0.05583272989304029,0.9878404484363229,0.9615230646563787,0.026932695784362387,0.9926159070801961,0.9831944073269409,0.09951199239661089,0.9791837138378475,0.9228570143893472,0.13029954623927695,0.9715774611522582,0.8903614670434242,0.0704496642865905,0.9842480953497097,0.949044269786728
sim-4416fb6581c912835b11988445fab7d4f6d103fa010a08bb6dac21a11d825bb6,10,prechallenge_demand,2.500181415742049,0.05812500406595061,19.921760593227805,6.515147643242644,0.0,0.0,0,8,0,8,0.9317296307180575,1.0,1.0,18,0,18,18,0,18,0,5,1.0,1.0,1,none,5,5,5,5,0.06725661035177703,0.9860444024219459,0.9495594898512857,0.10685291950935268,0.9772503064760523,0.9139180197864692,0.11263721398005536,0.9752812343423208,0.9089920506170616,0.04320048001078921,0.990922828046741,0.9705663711115865,0.05621976936850813,0.9890504563406171,0.961501783239237,0.05620420567895851,0.9888708699199974,0.9609323828828279,0.03148523123546268,0.9921323499548681,0.9800029143957794,0.09849658330227279,0.9800044642847224,0.9230565069490158,0.13334015034558283,0.9701750051376055,0.8866792023106448,0.06917776279508152,0.9860430309713772,0.9497111210861727
