intended_route,pulse,design_cell_count,rhythmic_to_rhythmic_count,rhythmic_to_failure_count,failure_to_rhythmic_count,failure_to_failure_count,lr_phase_delta_deg_complete_cells,lr_phase_delta_deg_median,lr_phase_delta_deg_range_min,lr_phase_delta_deg_range_max,lr_phase_delta_deg_negative_cells,lr_phase_delta_deg_neutral_cells,lr_phase_delta_deg_positive_cells,fe_phase_delta_deg_complete_cells,fe_phase_delta_deg_median,fe_phase_delta_deg_range_min,fe_phase_delta_deg_range_max,fe_phase_delta_deg_negative_cells,fe_phase_delta_deg_neutral_cells,fe_phase_delta_deg_positive_cells,pf_propagation_gap_delta_complete_cells,pf_propagation_gap_delta_median,pf_propagation_gap_delta_range_min,pf_propagation_gap_delta_range_max,pf_propagation_gap_delta_negative_cells,pf_propagation_gap_delta_neutral_cells,pf_propagation_gap_delta_positive_cells,mn_propagation_gap_delta_complete_cells,mn_propagation_gap_delta_median,mn_propagation_gap_delta_range_min,mn_propagation_gap_delta_range_max,mn_propagation_gap_delta_negative_cells,mn_propagation_gap_delta_neutral_cells,mn_propagation_gap_delta_positive_cells,route_mt_support_delta_complete_cells,route_mt_support_delta_median,route_mt_support_delta_range_min,route_mt_support_delta_range_max,route_mt_support_delta_negative_cells,route_mt_support_delta_neutral_cells,route_mt_support_delta_positive_cells,route_rrp_delta_complete_cells,route_rrp_delta_median,route_rrp_delta_range_min,route_rrp_delta_range_max,route_rrp_delta_negative_cells,route_rrp_delta_neutral_cells,route_rrp_delta_positive_cells,route_replenishment_resource_delta_complete_cells,route_replenishment_resource_delta_median,route_replenishment_resource_delta_range_min,route_replenishment_resource_delta_range_max,route_replenishment_resource_delta_negative_cells,route_replenishment_resource_delta_neutral_cells,route_replenishment_resource_delta_positive_cells,recovery_eligible_cells,recovery_event_observed_cells,recovery_eligible_without_event_cells,recovery_ineligible_cells,recovery_observed_time_s_complete_cells,recovery_observed_time_s_median,recovery_observed_time_s_range_min,recovery_observed_time_s_range_max,recovery_observed_time_s_negative_cells,recovery_observed_time_s_neutral_cells,recovery_observed_time_s_positive_cells,aggregation_basis,independent_stochastic_realization_count,inferential_scope,generated_at_utc,publication_script_version,publication_script_sha256,protocol_spec_sha256,locked_protocol_sha256,source_a_to_d_script_sha256,source_e_f_script_sha256,source_g_h_script_sha256,output_row_count
V2a,inhibitory,9,9,0,0,0,9,-1.143338442,-4.540148965,6.477691251,5,0,4,9,0.07422689279,-1.949120915,1.425321008,4,0,5,9,0,-0.01351351351,0,2,7,0,9,0,-0.01351351351,0,2,7,0,9,-0.05484409015,-0.06531774652,-0.05239155627,9,0,0,9,-0.0004087369472,-0.0007607629358,-0.0002807143525,9,0,0,9,0.006166310443,0.005674514284,0.008814727819,0,0,9,9,9,0,0,9,0.0482,0.02325,1.695,0,0,9,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,30
V3,none,9,9,0,0,0,9,0,-5.683552172,5.507114803,2,4,3,9,0,-4.121713865,5.204434927,2,4,3,9,0,0,0,0,9,0,9,0,0,0,0,9,0,9,-0.02118566415,-0.03452563224,-0.01897990595,9,0,0,9,-4.682451379e-05,-5.572092354e-05,0.0004570138785,7,0,2,9,0.0009717523912,0.0007703302012,0.003412158302,0,0,9,,,,,0,,,,0,0,0,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,30
V3,excitatory,9,9,0,0,0,9,0.0001278292883,-0.5483558344,3.781604423,2,2,5,9,0,-0.6034253864,4.628985039,4,2,3,9,0,0,0,0,9,0,9,0,0,0,0,9,0,9,-0.02341315202,-0.035640394,-0.02276553323,9,0,0,9,-6.767937537e-05,-0.0007498711089,0.0002702218332,8,0,1,9,0.001206259788,0.00114809322,0.003070687362,0,0,9,9,9,0,0,9,1.16535,0.571075,2.1798,0,0,9,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,30
V3,inhibitory,9,9,0,0,0,9,0.009495716273,-0.9981802217,1.617788149,2,2,5,9,0,-1.465663406,0.6712800417,3,3,3,9,0,-0.01351351351,0,2,7,0,9,0,-0.01351351351,0,2,7,0,9,-0.0207539397,-0.03366315638,-0.01944869636,9,0,0,9,-5.356676827e-05,-0.0001917816506,0.0004626653757,7,0,2,9,0.000952675622,0.0008806299186,0.003755156176,0,0,9,9,9,0,0,9,0.057525,0.022775,2.2149,0,0,9,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,30
V1Ia,none,9,9,0,0,0,9,-0.1269727105,-0.9610000183,3.336709977,5,0,4,9,0.02036111692,-4.323843525,6.809697092,4,0,5,9,0,0,0.01333333333,0,8,1,9,0,0,0.01333333333,0,8,1,9,-0.0929856061,-0.1152897756,-0.08511576348,9,0,0,9,-0.0008218894737,-0.001792322273,-0.0002617242605,9,0,0,9,0.01599797365,0.01427697787,0.02565695223,0,0,9,,,,,0,,,,0,0,0,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,30
V1Ia,excitatory,9,9,0,0,0,9,0.1425756599,-17.16208498,20.40886289,4,0,5,9,0.6024481381,-12.79642834,9.150176688,3,0,6,9,0,-0.01298701299,0.0003753753754,2,6,1,9,0,-0.01281613124,0.0003753753754,2,6,1,9,-0.09813825848,-0.117300615,-0.08363417253,9,0,0,9,-0.0006371753905,-0.001742800601,0.0002226525063,7,0,2,9,0.02003756493,0.01376917632,0.0251021403,0,0,9,9,9,0,0,9,1.2382,0.57105,2.620175,0,0,9,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,30
V1Ia,inhibitory,9,9,0,0,0,9,0.02756715173,-4.345708136,11.26774037,4,0,5,9,-0.1943476615,-7.71173631,9.725145447,6,0,3,9,0,-0.01351351351,0.01298701299,2,6,1,9,0,-0.01351351351,0.01298701299,2,6,1,9,-0.09037915873,-0.1138171657,-0.0858276635,9,0,0,9,-0.0007621924197,-0.001539754378,0.0006668873857,6,0,3,9,0.0170131538,0.01441980324,0.02642908746,0,0,9,9,9,0,0,9,0.057525,0.004225,2.2926,0,0,9,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,30
V1Ren,none,9,9,0,0,0,9,-0.02753812834,-7.561792011,12.55299006,6,0,3,9,0.02301321728,-9.690937504,10.22343828,4,0,5,9,0,0,0,0,9,0,9,0,0,0,0,9,0,9,-0.1099386528,-0.1336513396,-0.1079831332,9,0,0,9,-0.001450238183,-0.002222008817,-0.001251400172,9,0,0,9,0.02321668784,0.0222029768,0.034349133,0,0,9,,,,,0,,,,0,0,0,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,30
V1Ren,excitatory,9,9,0,0,0,9,0.07314067603,-16.23006162,10.26295498,4,0,5,9,0.1093937287,-14.67401801,10.386384,3,0,6,9,0,-0.01351351351,0.01332877649,2,6,1,9,0,-0.01351351351,0.01349965824,2,6,1,9,-0.1142616283,-0.1349870933,-0.1108962592,9,0,0,9,-0.001607124574,-0.002256388009,-0.001036364234,9,0,0,9,0.02503070515,0.02264891434,0.03518859075,0,0,9,9,9,0,0,9,1.16535,0.570975,1.848075,0,0,9,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,30
V1Ren,inhibitory,9,9,0,0,0,9,0.2900652225,-2.722190418,16.09535807,2,0,7,9,0.08105321366,-0.7610828082,12.43443248,3,0,6,9,0,-0.01351351351,0.01333333333,2,6,1,9,0,-0.01351351351,0.01333333333,2,6,1,9,-0.1123593386,-0.1343254206,-0.1067625255,9,0,0,9,-0.00144164531,-0.002835541055,-0.001157490343,9,0,0,9,0.02405917879,0.02153832101,0.03305973423,0,0,9,9,9,0,0,9,0.058975,0.03035,2.26305,0,0,9,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,30
V2b,none,9,9,0,0,0,9,-0.03534609033,-14.02139068,15.09542504,5,0,4,9,0.03998574811,-15.67145664,17.60657418,3,0,6,9,0,0,0,0,9,0,9,0,0,0.01333333333,0,8,1,9,-0.06175562685,-0.0856311844,-0.05803445878,9,0,0,9,-0.0004709629733,-0.001055867509,-0.0003931540495,9,0,0,9,0.007641369986,0.006711151187,0.01604241495,0,0,9,,,,,0,,,,0,0,0,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,30
V2b,excitatory,9,9,0,0,0,9,-0.4273063956,-12.61107269,3.636603236,6,0,3,9,-2.69033523,-15.12517784,1.768887336,7,0,2,9,0,-0.01351351351,0.0001708817498,2,6,1,9,0,-0.01351351351,0.01315789474,3,5,1,9,-0.06731894031,-0.08871315,-0.06216053332,9,0,0,9,-0.0005329418109,-0.002008329316,-0.0004548978342,9,0,0,9,0.009172553284,0.00782295409,0.01687033112,0,0,9,9,9,0,0,9,0.65725,0.571075,2.073225,0,0,9,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,30
V2b,inhibitory,9,9,0,0,0,9,0.017952521,-8.355669056,6.922179222,4,0,5,9,0.1264301617,-6.815456325,5.838837771,3,0,6,9,0,-0.01351351351,0,2,7,0,9,0,-0.01351351351,0,2,7,0,9,-0.06223727982,-0.08595038905,-0.05787243102,9,0,0,9,-0.0004027662963,-0.001395715053,-0.0003361290188,9,0,0,9,0.0079079187,0.006682805807,0.01587498368,0,0,9,9,9,0,0,9,0.057425,0.01525,1.812925,0,0,9,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,30
